"r","hh1","hh2","hh3","hh4","hh5"
"me",0.14238024,0.14727306,0.09222484,0.13708619,0.0678863
"nh",0.0767277,0.10256498,0.08140524,0.17546531,0.09702807
"vt",0.0553327,0.05757827,0.05588275,0.07190639,0.03280533
"ma",0.5137969,0.50474825,0.39935557,0.79750831,0.54774994
"ri",0.0917037,0.09989421,0.07421972,0.12392763,0.06304108
"ct",0.24731016,0.26226516,0.19446221,0.42510773,0.28789777
"ny",1.65088387,1.62429067,1.26681264,1.90311972,1.30608083
"nj",0.68354809,0.65048721,0.48752602,0.87596795,0.72748531
"pa",1.07372164,1.04533058,0.9192447,1.46247277,0.62835353
"oh",1.02990185,1.16990525,0.75296209,1.22782271,0.55195933
"in",0.58279368,0.61578288,0.40884829,0.75979242,0.26373368
"il",0.98730868,1.05839926,0.83891217,1.39521717,0.76184708
"mi",0.78322716,0.96209293,0.78961746,1.0206889,0.4973017
"wi",0.44251151,0.56524767,0.42662706,0.70744933,0.2466173
"mn",0.37313558,0.44575716,0.35865643,0.67596169,0.36494197
"ia",0.22774521,0.33388052,0.2479439,0.37454127,0.13768074
"mo",0.5705711,0.53709094,0.5147747,0.5876166,0.23120525
"nd",0.06239113,0.07202589,0.05912484,0.09812594,0.02969554
"sd",0.08605985,0.0710611,0.06497074,0.09295186,0.03415937
"ne",0.15021874,0.17176505,0.14172795,0.21269938,0.08625361
"ks",0.24685346,0.2746874,0.21280771,0.28154007,0.13928569
"de",0.07580041,0.09665163,0.07442933,0.09917497,0.04525452
"md",0.35450586,0.44825323,0.37646774,0.6256691,0.51070822
"dc",0.07447152,0.05067416,0.04091178,0.08040221,0.07474969
"va",0.63611376,0.64455088,0.48596209,0.935564,0.54307861
"wv",0.23828663,0.18968536,0.12535903,0.14927465,0.05999157
"nc",0.94212397,0.93783313,0.71448426,1.03396445,0.40985272
"sc",0.46028904,0.5030557,0.34206843,0.54240174,0.19513014
"ga",0.94370942,0.90882066,0.68202332,1.01122523,0.45158661
"fl",2.0259309,2.17298031,1.50850967,1.96156636,0.84963478
"ky",0.47868311,0.51547921,0.29985045,0.36581422,0.16729569
"tn",0.68097036,0.65242674,0.48996497,0.64301721,0.27645692
"al",0.5459295,0.48368052,0.28760311,0.44079152,0.19993046
"ms",0.39164976,0.27844135,0.18153614,0.24401816,0.07803778
"ar",0.33453594,0.32526532,0.21892748,0.23938309,0.10279244
"la",0.57743584,0.46317188,0.25894076,0.41836769,0.14430987
"ok",0.38012765,0.39540243,0.25393053,0.38578161,0.15288663
"tx",2.09682429,2.36230159,1.71784369,2.65121077,1.30971714
"mt",0.08845394,0.10183151,0.08443999,0.11826879,0.04196823
"id",0.12078618,0.15922591,0.12756402,0.17180632,0.0566084
"wy",0.04913826,0.05757934,0.04283031,0.06978588,0.02077095
"co",0.39286559,0.43984364,0.41216794,0.69742155,0.3573812
"nm",0.22568992,0.20320605,0.13909259,0.18434296,0.06748762
"az",0.57147285,0.60012774,0.53587931,0.69602211,0.30336406
"ut",0.16499971,0.19567384,0.22036666,0.31920225,0.1459088
"nv",0.22684288,0.30086678,0.19807424,0.31084277,0.10319913
"wa",0.4606801,0.60058393,0.46092922,0.87185896,0.4476996
"or",0.33503613,0.3993405,0.30309653,0.43297011,0.24224706
"ca",2.85191468,2.77909678,2.14180652,3.79433904,2.46497226
"ak",0.03510153,0.04659952,0.04719261,0.09122533,0.03961267
"hi",0.08602661,0.0841028,0.07697551,0.14653232,0.08373855
