"r","hh1","hh2","hh3","hh4","hh5"
"me",0.15496926,0.14237315,0.10153169,0.15148855,0.05554579
"nh",0.07527026,0.08853343,0.08592222,0.16293833,0.08971148
"vt",0.05334562,0.05736441,0.05002325,0.0716539,0.03271327
"ma",0.58844495,0.47068924,0.41440428,0.71784563,0.52271356
"ri",0.10223329,0.10896251,0.07324856,0.11729964,0.04830587
"ct",0.23640472,0.27481614,0.22669582,0.43885889,0.25353483
"ny",1.85910226,1.60594075,1.18158265,2.06793481,1.13998054
"nj",0.65015197,0.6680495,0.50161908,0.96884068,0.62687912
"pa",1.09517856,1.16366557,0.78301478,1.47520512,0.62044068
"oh",1.0992085,1.11862607,0.80607626,1.22023835,0.4468361
"in",0.62708797,0.65320884,0.4129599,0.74633059,0.23078563
"il",0.9989059,1.16769112,0.8760319,1.33002475,0.7654408
"mi",0.87000632,0.99409191,0.78985828,1.04571314,0.37343291
"wi",0.48199035,0.59077738,0.46978664,0.63590299,0.21324875
"mn",0.41574407,0.44299721,0.377951,0.72316285,0.28305242
"ia",0.23303049,0.32027753,0.22361072,0.39174885,0.12976791
"mo",0.49406029,0.55581297,0.41878374,0.68700402,0.26316447
"nd",0.06940029,0.07314956,0.06238209,0.08888598,0.03390542
"sd",0.08625291,0.07865244,0.05815793,0.0981312,0.03668233
"ne",0.14626016,0.16900617,0.11853048,0.23338016,0.06998169
"ks",0.26173234,0.28071102,0.18292043,0.29987247,0.12154349
"de",0.0856486,0.08640732,0.06989479,0.1175569,0.04074568
"md",0.38767987,0.41699692,0.35849438,0.64891493,0.45327677
"dc",0.07336811,0.05479929,0.04024536,0.08124279,0.07207655
"va",0.71590028,0.67205179,0.51530503,0.8611294,0.54129942
"wv",0.22086423,0.20551598,0.1258652,0.14413513,0.05822325
"nc",0.9581766,1.05105118,0.70430425,0.91309315,0.41619389
"sc",0.58062842,0.48327924,0.35351332,0.44073846,0.14586085
"ga",1.06059176,0.92480937,0.62987358,1.02206212,0.36159204
"fl",2.29684859,1.9622056,1.30747115,1.93494256,0.76209065
"ky",0.57418393,0.46664045,0.29403004,0.3936451,0.14564695
"tn",0.71646088,0.72066765,0.42241152,0.62489659,0.25283781
"al",0.57446413,0.51599699,0.29304693,0.45293989,0.14866487
"ms",0.38803379,0.30344266,0.19536783,0.20195587,0.06440863
"ar",0.35123113,0.33046783,0.18408353,0.25469704,0.09099951
"la",0.54486135,0.43620056,0.28847456,0.42272742,0.15924183
"ok",0.43290055,0.41195579,0.27081162,0.35162361,0.12084335
"tx",2.21630848,2.32825734,1.74187846,2.57064763,1.24797313
"mt",0.10169343,0.1115302,0.06853747,0.11556628,0.03851243
"id",0.13792171,0.17920245,0.12257718,0.15299235,0.05576762
"wy",0.04432501,0.05408809,0.04738363,0.07301249,0.02305817
"co",0.39536763,0.50814877,0.35643548,0.70139644,0.28991848
"nm",0.22849404,0.21887803,0.13507796,0.17986186,0.05206171
"az",0.60015327,0.64338219,0.48674367,0.67022903,0.236189
"ut",0.15372948,0.2238213,0.19588482,0.33027114,0.11038502
"nv",0.23660118,0.3077635,0.22701274,0.2548476,0.09768472
"wa",0.46869861,0.59877161,0.4973664,0.89618391,0.38305006
"or",0.33763572,0.39902087,0.2718187,0.46022243,0.18391171
"ca",2.89538556,2.84182063,2.17223465,3.70074282,2.32814976
"ak",0.03724034,0.04656035,0.04861404,0.08874609,0.04106601
"hi",0.08979154,0.08890436,0.08551209,0.13645519,0.07086024
