"yr","Dim2","Val"
"1997","IA",72.5891189564882
"1997","FL",367.475378702995
"1997","MD",166.977740788633
"1997","OH",311.601290590672
"1997","TN",137.96676359825
"1997","WI",133.094639022719
"1997","RI",32.1572868251005
"1997","AK",27.2682214979253
"1997","WV",33.8366350225578
"1997","AZ",123.595550809425
"1997","NH",39.3897439885518
"1997","OK",75.0832650966938
"1997","NE",43.8887598895462
"1997","KY",102.848137309949
"1997","NM",58.8599618951782
"1997","IL",367.52183467569
"1997","NC",233.72159139048
"1997","VA",257.019676501443
"1997","CT",124.593499141033
"1997","MI",267.774748214454
"1997","DE",30.9662756430112
"1997","HI",48.9956351399915
"1997","GA",228.641431214824
"1997","CA",1017.23413338572
"1997","ME",28.2597560855386
"1997","MA",240.716164032325
"1997","MS",56.0796377029764
"1997","WA",189.491134812869
"1997","TX",565.052777156747
"1997","AL",99.621464135888
"1997","NV",63.3533572487591
"1997","SD",17.0217320391235
"1997","MN",136.406715678995
"1997","VT",14.1414359424338
"1997","MO",146.295749408828
"1997","IN",156.452940869313
"1997","LA",108.741239370177
"1997","KS",68.45815485103
"1997","AR",53.8967336658616
"1997","NY",633.012222140094
"1997","OR",86.5535721120591
"1997","ND",15.5208367975424
"1997","SC",94.1843561292721
"1997","ID",25.982516515855
"1997","NJ",271.19972384651
"1997","UT",53.5136180020286
"1997","MT",17.3930941421164
"1997","DC",66.8901849050456
"1997","PA",319.522123291315
"1997","WY",13.4267105701382
"1997","CO",134.118093492146
"1998","IA",73.8285491180485
"1998","FL",392.992406897468
"1998","MD",177.198045163391
"1998","OH",327.441991008678
"1998","TN",148.293131379418
"1998","WI",141.483478203838
"1998","RI",33.7115598870821
"1998","AK",25.7152332412565
"1998","WV",34.7814004050485
"1998","AZ",133.605921172009
"1998","NH",41.4169831846273
"1998","OK",76.5325110204056
"1998","NE",45.3392474374874
"1998","KY",107.894254165193
"1998","NM",56.4231857709861
"1998","IL",386.776113456918
"1998","NC",245.304893224934
"1998","VA",274.207814797059
"1998","CT",130.323191182694
"1998","MI",279.385082818878
"1998","DE",34.6376701419007
"1998","HI",50.0648091660437
"1998","GA",249.350103619184
"1998","CA",1086.65756448869
"1998","ME",29.5079602675401
"1998","MA",252.212259800469
"1998","MS",58.5713253438223
"1998","WA",204.354653727988
"1998","TX",593.635831602552
"1998","AL",104.553942465147
"1998","NV",68.727969193919
"1998","SD",18.3227318596038
"1998","MN",146.144725364254
"1998","VT",14.7519229047397
"1998","MO",150.895379263597
"1998","IN",170.368296198795
"1998","LA",112.022223030713
"1998","KS",71.9396479700871
"1998","AR",56.0044321656574
"1998","NY",658.223896372967
"1998","OR",89.8364234934133
"1998","ND",16.6480028039715
"1998","SC",100.402942654039
"1998","ID",27.4211350707949
"1998","NJ",279.689409557873
"1998","UT",57.5083749245568
"1998","MT",18.5240461650547
"1998","DC",69.5383281928238
"1998","PA",334.017616465421
"1998","WY",13.5075242181958
"1998","CO",147.356555063843
"1999","IA",76.1453082638747
"1999","FL",417.158145974416
"1999","MD",187.290148374279
