"r","rr","value"
"CO","UT",94204953.3759348
"CO","VA",24586002.770345
"CO","VT",2400653.46915827
"CO","WA",59436868.6501944
"CO","WI",23840972.3833649
"CO","WV",3311246.16435623
"CO","WY",335843142.219831
"CT","AK",548874.70542207
"CT","AL",3920533.61015764
"CT","AR",4783051.00439232
"CT","AZ",5410336.38201755
"CT","CA",50810115.587643
"CT","CO",4547818.98778286
"CT","CT",129408189297.361
"CT","DC",23915255.0219616
"CT","DE",3685301.59354818
"CT","FL",32775660.9809179
"CT","GA",31207447.5368548
"CT","HI",4783051.00439232
"CT","IA",3998944.28236079
"CT","IL",29952876.7816044
"CT","IN",6743317.80947114
"CT","KS",1097749.41084414
"CT","KY",2509141.51050089
"CT","LA",2587552.18270404
"CT","MA",2155430968.19247
"CT","MD",29325591.4039792
"CT","ME",28619895.3541508
"CT","MI",17642401.2457094
"CT","MN",5488747.0542207
"CT","MO",10977494.1084414
"CT","MS",313642.688812611
"CT","NC",16779883.8514747
"CT","ND",1411392.09965675
"CT","NE",3371658.90473557
"CT","NH",51123758.2764556
"CT","NJ",263303037.258187
"CT","NM",6429675.12065853
"CT","NV",3136426.88812611
"CT","NY",6284301734.39389
"CT","OH",11447958.1416603
"CT","OR",2901194.87151665
"CT","PA",57082969.3638953
"CT","RI",610975957.806967
"CT","SC",6351264.44845538
"CT","TN",9252459.31997203
"CT","TX",36147319.8856535
"CT","UT",1568213.44406306
"CT","VA",21327702.8392576
"CT","VT",26424396.5324625
"CT","WA",4939872.34879863
"CT","WI",13251403.6023328
"DC","AL",547008.519782391
"DC","AR",2735042.59891196
"DC","CA",20676922.0477744
"DC","CO",4157264.75034617
"DC","CT",11815384.0272997
"DC","DC",31843444568.9082
"DC","DE",1969230.67121661
"DC","FL",6235897.12551926
"DC","GA",22427349.311078
"DC","HI",1094017.03956478
"DC","IL",7767520.98090996
"DC","IN",2297435.78308604
"DC","KY",3829059.63847674
"DC","MA",15097435.145994
"DC","MD",4737421986.42738
"DC","MI",1750427.26330365
"DC","MN",875213.631651826
"DC","MO",1859828.96726013
"DC","MS",3719657.93452026
"DC","NC",19582905.0082096
"DC","NE",3719657.93452026
"DC","NJ",17285469.2251236
"DC","NV",984615.335608304
"DC","NY",58092304.80089
"DC","OH",7876922.68486644
"DC","PA",21552135.6794262
"DC","RI",2735042.59891196
"DC","SC",3063247.71078139
"DC","TN",3610256.23056378
"DC","TX",19801708.4161226
"DC","UT",1312820.44747774
"DC","VA",4582837378.73687
"DC","VT",2297435.78308604
"DC","WA",3063247.71078139
"DC","WI",656410.22373887
"DE","AZ",180788.33347433
"DE","CA",2470773.89081584
"DE","CT",2169460.00169196
"DE","DC",45980499.4803046
"DE","DE",23202977345.8737
"DE","FL",3434978.33601227
"DE","GA",5905752.22682811
"DE","IA",421839.444773436
"DE","IL",11871767.231481
"DE","IN",2531036.66864062
"DE","KY",2651562.22429017
"DE","LA",120525.555649553
"DE","MA",9159942.22936605
"DE","MD",1416657381.10485
"DE","MI",2048934.44604241
"DE","MS",542365.00042299
"DE","NC",3314452.78036272
"DE","NE",1627095.00126897
"DE","NH",1988671.66821763
"DE","NJ",372423966.95712
"DE","NM",1807883.3347433
"DE","NV",482102.222598213
"DE","NY",69061143.387194
"DE","OH",6749431.11637498
"DE","OK",1928408.89039285
"DE","PA",1963120250.41992
"DE","RI",1084730.00084598
"DE","TN",1144992.77867076
"DE","TX",14764380.5670703
"DE","UT",662890.556072543
"DE","VA",59780675.6021784
"DE","VT",1084730.00084598
"DE","WA",7713635.56157141
"DE","WI",1205255.55649553
"DE","WV",2169460.00169196
"FL","AK",21538617.7493729
"FL","AL",620085468.889839
"FL","AR",19894881.1316576
"FL","AZ",37919303.3535011
"FL","CA",214649330.044408
"FL","CO",75951967.8530516
"FL","CT",66599673.3039818
"FL","DC",70057188.2584864
"FL","DE",18364505.6599916
"FL","FL",535013030031.389
"FL","GA",931431856.514326
"FL","HI",17117533.0534489
"FL","IA",51806043.7445442
"FL","ID",2210542.34796195
"FL","IL",312309957.365906
"FL","IN",139490890.213702
"FL","KS",37125775.3311558
"FL","KY",66259589.8658338
"FL","LA",135749972.394074
"FL","MA",205297035.495338
"FL","MD",107579727.600815
"FL","ME",35652080.4325145
"FL","MI",151677213.414005
"FL","MN",93126181.4795253
"FL","MO",92332653.4571799
"FL","MS",56227128.4404681
"FL","MT",2040500.62888795
"FL","NC",175993179.241586
"FL","ND",29700620.2649247
"FL","NE",20064922.8507316
"FL","NH",26356466.4564694
"FL","NJ",253815606.004452
"FL","NM",6744988.18993518
"FL","NV",34065024.3878239
"FL","NY",586303847.367139
"FL","OH",206373966.382807
"FL","OK",39336317.6791178
"FL","OR",31741120.8938126
"FL","PA",255402662.049142
"FL","RI",26469827.6025187
"FL","SC",67393201.3263272
"FL","SD",963569.741419312
"FL","TN",143628572.044502
"FL","TX",382933951.354639
"FL","UT",10712628.3016618
"FL","VA",181831278.263127
"FL","VT",15077032.424561
"FL","WA",56283809.0134927
"FL","WI",101514906.287176
"FL","WV",33554899.2306019
"FL","WY",5554696.15641721
"GA","AK",4412360.29027058
"GA","AL",879145817.219911
"GA","AR",32108406.419969
"GA","AZ",25795337.0815818
"GA","CA",106711236.558544
"GA","CO",19142855.4131739
"GA","CT",27628163.6636942
"GA","DC",13848023.0648492
"GA","DE",4140830.42625393
"GA","FL",1149114384.51847
"GA","GA",320607597170.806
"GA","HI",4751772.62029139
"GA","IA",12626138.6767743
"GA","ID",19685915.1412072
"GA","IL",125446797.175693
"GA","IN",42562306.18461
"GA","KS",20161092.4032363
"GA","KY",75960479.4586581
"GA","LA",66592699.1500836
"GA","MA",38353593.2923519
"GA","MD",30004049.9738399
"GA","ME",1221884.38807493
"GA","MI",37810533.5643186
"GA","MN",31972641.4879606
"GA","MO",40729479.6024976
"GA","MS",33466055.7400522
"GA","MT",6177304.40637881
"GA","NC",402543023.404685
"GA","ND",24777100.0915194
"GA","NE",29732520.1098233
"GA","NH",4276595.35826225
"GA","NJ",139634232.570563
"GA","NM",3733535.63022895
"GA","NV",22944273.509407
"GA","NY",172285698.718565
"GA","OH",112277598.770885
"GA","OK",30750757.0998857
"GA","OR",9435662.77457862
"GA","PA",139498467.638554
"GA","RI",8756838.11453699
"GA","SC",1576027213.21865
"GA","SD",1018236.99006244
"GA","TN",2600984567.4155
"GA","TX",274720339.918847
"GA","UT",21654506.6553279
"GA","VA",121509614.147451
"GA","WA",17988853.4911031
"GA","WI",32855113.5460148
"GA","WV",3733535.63022895
"HI","AK",5603122.38152245
"HI","AL",395514.521048644
"HI","AZ",3493711.60259635
"HI","CA",65062138.7125019
"HI","CO",6130475.07625398
"HI","FL",6328232.3367783
"HI","GA",3098197.08154771
"HI","HI",45818379690.8801
"HI","IA",1450219.91051169
"HI","IL",2175329.86576754
"HI","IN",5207607.86047381
"HI","KY",1713896.25787746
"HI","LA",14699956.3656413
"HI","MA",791029.042097287
"HI","MD",3559630.68943779
"HI","ME",197757.260524322
"HI","MI",725109.955255847
"HI","MO",2966358.90786483
"HI","MT",922867.215780169
"HI","NE",2702682.56049907
"HI","NJ",1318381.73682881
"HI","NM",1318381.73682881
"HI","NV",1911653.51840178
"HI","NY",7382937.72624135
"HI","OH",1186543.56314593
"HI","OK",1318381.73682881
"HI","OR",2702682.56049907
"HI","SC",2768601.64734051
"HI","SD",395514.521048644
"HI","TX",13051979.1946052
"HI","UT",2900439.82102339
"HI","VA",5009850.59994949
"HI","WA",19314292.4445421
"HI","WY",263676.347365762
"IA","AK",3247121.01766582
"IA","AL",1873339.04865336
"IA","AR",3059787.11280048
"IA","AZ",9241805.97335656
"IA","CA",17921610.2321171
"IA","CO",15361380.1989575
"IA","DC",1498671.23892269
"IA","FL",13113373.3405735
"IA","GA",7743134.73443387
"IA","HI",2435340.76324936
"IA","IA",94361461662.6386
"IA","ID",2810008.57298003
"IA","IL",1354861244.62106
"IA","IN",15736048.0086882
"IA","KS",16610272.8980598
"IA","KY",936669.524326678
"IA","LA",249778.539820448
"IA","MA",3059787.11280048
"IA","MD",2185562.22342892
"IA","ME",187333.904865336
"IA","MI",11802036.0065161
"IA","MN",269448599.831308
"IA","MO",107467216.757748
"IA","MS",2872453.20793515
"IA","MT",2185562.22342892
"IA","NC",1248892.69910224
"IA","ND",2060672.95351869
"IA","NE",1965881997.65683
"IA","NJ",562001.714596007
"IA","NM",3496899.55748627
"IA","NV",1686005.14378802
"IA","NY",5182904.70127429
"IA","OH",11052700.3870548
"IA","OK",6619131.30524186
"IA","OR",1061558.7942369
"IA","PA",5182904.70127429
"IA","SC",1311337.33405735
"IA","SD",381224496.400958
"IA","TN",13300707.2454388
"IA","TX",27038526.9355634
"IA","UT",4808236.89154361
"IA","VA",2872453.20793515
"IA","WA",3434454.92253115
"IA","WI",207191298.781061
"IA","WV",1311337.33405735
"IA","WY",1873339.04865336
"ID","AK",25431947.9257714
"ID","AL",2506514.09845343
"ID","AR",427941.431443268
"ID","AZ",15222488.0613391
"ID","CA",88094800.3871071
"ID","CO",17912405.6304111
"ID","CT",2995590.02010288
"ID","DC",2689917.56907197
"ID","FL",4585086.76546359
"ID","GA",2628783.07886579
"ID","HI",6724793.92267993
"ID","IA",3606934.92216469
"ID","ID",46859525608.5477
"ID","IL",2567648.58865961
"ID","IN",6602524.94226757
"ID","KS",1039286.33350508
"ID","LA",2995590.02010288
"ID","MD",1711765.72577307
"ID","MI",14183201.727834
"ID","MN",3423531.45154615
"ID","MO",3790338.39278323
"ID","MT",38881535.7711312
"ID","NC",3484665.94175233
"ID","ND",33990776.5546367
"ID","NE",1772900.21597925
"ID","NJ",2384245.11804107
"ID","NM",4279414.31443268
"ID","NV",56549403.4407176
"ID","NY",794748.372680355
"ID","OH",2078572.66701016
"ID","OK",9475845.98195808
"ID","OR",360571223.236057
"ID","PA",7336138.82474174
"ID","SC",7764080.25618501
"ID","TN",3484665.94175233
"ID","TX",27327117.122163
"ID","UT",277611720.026269
"ID","VA",1589496.74536071
"ID","WA",1219144003.69166
"ID","WI",1283824.2943298
"ID","WY",199787513.9938
"IL","AK",910594.459622588
"IL","AL",18743069.2938983
"IL","AR",26179590.7141494
"IL","AZ",56229207.8816948
"IL","CA",174758253.375902
"IL","CO",29290788.4511932
"IL","CT",18515420.6789926
"IL","DC",25951942.0992437
"IL","DE",2807666.25050298
"IL","FL",75503457.2770396
"IL","GA",101000102.146472
"IL","HI",9864773.31257803
"IL","IA",2568407556.23714
"IL","ID",2352369.02069168
"IL","IL",448527870598.459
"IL","IN",2544732100.28696
"IL","KS",20716023.9564139
"IL","KY",330925203.201175
"IL","LA",28531959.7348411
"IL","MA",54256253.2191792
"IL","MD",25344879.126162
"IL","ME",6829458.44716941
"IL","MI",212092626.220428
"IL","MN",102669525.322447
"IL","MO",6772925707.80117
"IL","MS",13507151.1510684
"IL","MT",2428251.8923269
"IL","NC",48792686.4614437
"IL","ND",9257710.33949631
"IL","NE",51979767.0701227
"IL","NH",7891818.65006243
"IL","NJ",57670982.4427639
"IL","NM",8347115.87987372
"IL","NV",20336609.5982378
"IL","NY",120881414.514899
"IL","OH",137651529.146281
"IL","OK",14114214.1241501
"IL","OR",22537212.875659
"IL","PA",65411035.3495559
"IL","RI",11610079.360188
"IL","SC",26483122.2006903
"IL","SD",10699484.9005654
"IL","TN",55318613.4220722
"IL","TX",171039992.665776
"IL","UT",23751338.8218225
"IL","VA",51524469.8403114
"IL","VT",758828.716352156
"IL","WA",27014302.3021368
"IL","WI",2245450054.55767
"IL","WV",5008269.52792423
"IL","WY",5615332.50100596
"IN","AK",1384661.70093413
"IN","AL",7121117.31908982
"IN","AR",4615539.00311377
"IN","AZ",12000401.4080958
"IN","CA",58353600.2536526
"IN","CO",15429087.5246946
"IN","CT",10615739.7071617
"IN","DC",11868528.8651497
"IN","FL",53803997.5220119
"IN","GA",44441046.9728383
"IN","HI",527490.171784431
"IN","IA",24000802.8161916
"IN","ID",3824303.74543712
"IN","IL",4682398382.38745
"IN","IN",197026216813.048
"IN","KS",21165543.1428503
"IN","KY",3379299849.26548
"IN","LA",4813347.81753293
"IN","MA",10879484.7930539
"IN","MD",12659764.1228263
"IN","ME",659362.714730538
"IN","MI",723123089.244982
"IN","MN",40748615.7703473
"IN","MO",36001204.2242874
"IN","MS",4022112.55985628
"IN","MT",1582470.51535329
"IN","NC",16747812.9541557
"IN","ND",6857372.2331976
"IN","NE",13385063.1090299
"IN","NH",16681876.6826826
"IN","NJ",22682077.3867305
"IN","NM",1582470.51535329
"IN","NV",3033068.48776048
"IN","NY",29803194.7058203
"IN","OH",1660143443.14855
"IN","OK",10417930.8927425
"IN","OR",4088048.83132934
"IN","PA",44572919.5157844
"IN","RI",791235.257676646
"IN","SC",14044425.8237605
"IN","SD",1582470.51535329
"IN","TN",43583875.4436886
"IN","TX",64947227.400958
"IN","UT",6132073.24699401
"IN","VA",10747612.2501078
"IN","WA",8176097.66265868
"IN","WI",48331286.9897485
"IN","WV",10351994.6212695
"IN","WY",4813347.81753293
"KS","AL",3364824.05498448
"KS","AR",10430954.5704519
"KS","AZ",9421507.35395655
"KS","CA",33917426.4742436
"KS","CO",53702591.9175523
"KS","CT",1749708.50859193
"KS","DC",1951597.951891
"KS","FL",12449849.0034426
"KS","GA",8883135.50515903
"KS","HI",5989386.81787238
"KS","IA",28399115.024069
"KS","IL",38964662.5567203
"KS","IN",2018894.43299069
"KS","KS",89532315198.7247
"KS","KY",3432120.53608417
"KS","LA",2489969.80068852
"KS","MA",2153487.39519007
"KS","MD",1076743.69759503
"KS","MI",7133426.9965671
"KS","MN",17968160.4536171
"KS","MO",6145851136.42915
"KS","MS",4037788.86598138
"KS","MT",4374271.27147982
"KS","NC",1951597.951891
"KS","ND",3297527.57388479
"KS","NE",151080600.068803
"KS","NJ",6931537.55326803
"KS","NM",10296361.6082525
"KS","NV",3903195.903782
"KS","NY",21063798.5842028
"KS","OH",12719034.9278413
"KS","OK",314678345.622149
"KS","OR",4441567.75257951
"KS","PA",10700140.4948506
"KS","SC",1817004.98969162
"KS","SD",9488803.83505624
"KS","TN",7402612.92096586
"KS","TX",114000238.982874
"KS","UT",6662351.62886927
"KS","VA",7335316.43986617
"KS","WA",6393165.70447051
"KS","WI",11373105.3058475
"KS","WV",2826452.20618696
"KS","WY",4374271.27147982
"KY","AK",1755958.85821896
"KY","AL",18547315.4399377
"KY","AR",10864995.4352298
"KY","AZ",1591337.71526093
"KY","CA",15090271.4378192
"KY","CO",5432497.7176149
"KY","CT",5597118.86057293
"KY","DC",8615173.14813676
"KY","DE",1152348.00070619
"KY","FL",38356726.3092204
"KY","GA",31552385.7336219
"KY","HI",493863.428874082
"KY","IA",5926361.14648898
"KY","ID",1426716.5723029
"KY","IL",103875941.206515
"KY","IN",1510892850.06877
"KY","KS",8670046.8624561
"KY","KY",100705228245.715
"KY","LA",17559588.5821896
"KY","MA",7407951.43311123
"KY","MD",12620954.2934488
"KY","ME",548737.143193424
"KY","MI",33472965.7347989
"KY","MN",11578353.7213813
"KY","MO",26339382.8732844
"KY","MS",5926361.14648898
"KY","MT",7023835.43287583
"KY","NC",31332890.8763445
"KY","ND",548737.143193424
"KY","NE",12017343.435936
"KY","NJ",10206510.8633977
"KY","NM",2633938.28732844
"KY","NY",20413021.7267954
"KY","OH",3532440485.59335
"KY","OK",9163910.29133018
"KY","OR",2194948.5727737
"KY","PA",38850589.7380944
"KY","RI",1646211.42958027
"KY","SC",8944415.43405281
"KY","SD",1042600.57206751
"KY","TN",844835705.660596
"KY","TX",26065014.3016877
"KY","UT",7846941.14766597
"KY","VA",118527222.92978
"KY","WA",1481590.28662225
"KY","WI",7737193.71902728
"KY","WV",388615644.809583
"KY","WY",164621.142958027
"LA","AK",8192868.02551795
"LA","AL",41637726.540646
"LA","AR",154710528.399678
"LA","AZ",2525199.04896101
"LA","CA",40066491.576848
"LA","CO",20313823.4605308
"LA","CT",7519481.61246168
"LA","DC",10605836.0056362
"LA","DE",392808.740949491
"LA","FL",57630653.8507324
"LA","GA",34006013.8593416
"LA","HI",112231.068842712
"LA","IA",11279222.4186925
"LA","ID",56115.5344213558
"LA","IL",26542647.7813013
"LA","IN",12064839.9005915
"LA","KS",6509401.99287727
"LA","KY",22221751.6308569
"LA","LA",109943238504.353
"LA","MA",17003006.9296708
"LA","MD",11615915.6252207
"LA","ME",4769820.42581524
"LA","MI",9651871.9204732
"LA","MN",3984202.94391626
"LA","MO",11503684.5563779
"LA","MS",484445408.659565
"LA","NC",23063484.6471772
"LA","ND",10381373.8679508
"LA","NE",5050398.09792202
"LA","NH",448924.275370846
"LA","NJ",14421692.3462884
"LA","NM",25757030.2994023
"LA","NV",12177070.9694342
"LA","NY",23007369.1127559
"LA","OH",21267787.5456939
"LA","OK",60324199.5029575
"LA","OR",3142469.92759593
"LA","PA",23512408.9225481
"LA","RI",561155.344213558
"LA","SC",19247628.306525
"LA","SD",392808.740949491
"LA","TN",20313823.4605308
"LA","TX",993469421.395683
"LA","UT",2076274.77359016
"LA","VA",11615915.6252207
"LA","VT",1234541.75726983
"LA","WA",9820218.52373727
"LA","WI",22839022.5094918
"LA","WV",8754023.36973151
"LA","WY",7519481.61246168
"MA","AK",701216.554748555
"MA","AL",3330778.63505564
"MA","AR",3155474.4963685
"MA","AZ",12884854.1935047
"MA","CA",129549758.489796
"MA","CO",26821533.2191322
"MA","CT",2475031482.05437
"MA","DC",35937348.4308634
"MA","DE",4031995.18980419
"MA","FL",48646898.485681
"MA","GA",34710219.4600535
"MA","HI",701216.554748555
"MA","IA",2980170.35768136
"MA","IL",37076825.3323298
"MA","IN",13235462.470879
"MA","KY",7362773.82485983
"MA","LA",28574574.6060036
"MA","MA",298764357311.359
"MA","MD",43212470.1863797
"MA","ME",101062835.953135
"MA","MI",23052494.2373587
"MA","MN",17793370.0767446
"MA","MO",13323114.5402225
"MA","MT",1051824.83212283
"MA","NC",16829197.3139653
"MA","ND",5171472.09127059
"MA","NH",3409402541.25682
"MA","NJ",109652738.748805
"MA","NM",1928345.52555853
"MA","NV",1665389.31752782
"MA","NY",513290518.075942
"MA","OH",36813869.1242991
"MA","OK",1227128.97080997
"MA","OR",6661557.27011127
"MA","PA",77396777.2303718
"MA","RI",4184422138.39266
"MA","SC",17968674.2154317
"MA","SD",2103649.66424567
"MA","TN",8677554.86501337
"MA","TX",49698723.3178038
"MA","UT",1928345.52555853
"MA","VA",60392275.7777193
"MA","VT",164259977.949849
"MA","WA",14900851.7884068
"MA","WI",19546411.463616
"MA","WV",6135644.85404986
"MA","WY",1139476.9014664
"MD","AK",1080278.61449247
"MD","AL",10802786.1449247
"MD","AR",3731871.57733763
"MD","AZ",7463743.15467526
"MD","CA",110777661.558864
"MD","CO",11981271.9061892
"MD","CT",13159757.6674538
"MD","DC",29259640894.9689
"MD","DE",2126675763.34859
"MD","FL",71298388.5565032
"MD","GA",73949981.5193483
"MD","IA",5401393.07246236
"MD","ID",3633664.43056559
"MD","IL",75324881.5741569
"MD","IN",6972707.42081505
"MD","KS",5499600.21923441
"MD","KY",27694415.3897161
"MD","LA",3928285.87088172
"MD","MA",88681053.5351548
"MD","MD",251397135978.763
"MD","ME",4910357.33860215
"MD","MI",30149594.0590172
"MD","MN",18561150.7399161
"MD","MO",15222107.7496667
"MD","MS",883864.320948387
"MD","MT",1178485.76126452
"MD","NC",87109739.1868021
"MD","ND",14829279.1625785
"MD","NH",5303185.92569032
"MD","NJ",173433821.199428
"MD","NM",1080278.61449247
"MD","NV",5008564.48537419
"MD","NY",257008103.102436
"MD","OH",56272695.1003806
"MD","OK",2258764.37575699
