"year","markup"
2000,1.21185729332515
2001,1.21897313790782
2002,1.22804399577809
2003,1.23652654230442
2004,1.23952603701079
2005,1.24154567812124
2006,1.23493450848716
2007,1.23170609305996
2008,1.2330439027899
2009,1.24161984666617
2010,1.24368090438461
2011,1.24146529630487
2012,1.23660647528826
2013,1.24192387567378
2014,1.23726554679487
2015,1.2341041050797
2016,1.23171593374018
2017,1.2301000305626
2018,1.23122229782751
2019,1.2277343853473
2020,1.22578856150314
2021,1.21849872100443
