"state","hh","tl","tp","tl_avg","tlp"
"al","hh1",0.0914734317066481,0.142127264282397,-0.0693505267306713,0.233600695989045
"ak","hh1",0.0705185399485269,0.142127264282397,-0.0759783815092339,0.212645804230923
"az","hh1",0.0236390746708301,0.142127264282397,-0.102558980847002,0.165766338953227
"ar","hh1",0.0681395229026378,0.142127264282397,-0.0986600943041618,0.210266787185034
"ca","hh1",0.0510164626654424,0.142127264282397,-0.126471180964775,0.193143726947839
"co","hh1",0.104452970434594,0.142127264282397,-0.0603630062565605,0.24658023471699
"ct","hh1",0.0320496933559,0.142127264282397,-0.136712528695782,0.174176957638297
"de","hh1",0.0561088258017414,0.142127264282397,-0.105302026487359,0.198236090084138
"dc","hh1",0.110928006400789,0.142127264282397,-0.126940979990951,0.253055270683186
"fl","hh1",0.0477211078231369,0.142127264282397,-0.0918450802052667,0.189848372105534
"ga","hh1",0.0573611917457592,0.142127264282397,-0.0897143523623146,0.199488456028156
"hi","hh1",0.105266970582637,0.142127264282397,-0.0786700194924519,0.247394234865033
"id","hh1",0.0302647662414186,0.142127264282397,-0.111623396275079,0.172392030523815
"il","hh1",0.0651484815633547,0.142127264282397,-0.0879304056925408,0.207275745845751
"in","hh1",0.0623371100974051,0.142127264282397,-0.0469962706648833,0.204464374379802
"ia","hh1",0.0324951162359005,0.142127264282397,-0.133990645676707,0.174622380518297
"ks","hh1",0.0527653115524287,0.142127264282397,-0.120709309575397,0.194892575834825
"ky","hh1",0.0657269567714007,0.142127264282397,-0.0618572824297349,0.207854221053797
"la","hh1",0.0746986560010433,0.142127264282397,-0.0854731023667162,0.21682592028344
"me","hh1",0.0890229131631383,0.142127264282397,-0.0434887406155471,0.231150177445535
"md","hh1",0.103141252504003,0.142127264282397,-0.114911254111973,0.2452685167864
"ma","hh1",0.0855676724831037,0.142127264282397,-0.0775367594524173,0.2276949367655
"mi","hh1",0.0842368401123574,0.142127264282397,-0.0810336709001667,0.226364104394754
"mn","hh1",0.106983324514738,0.142127264282397,-0.0997575967661767,0.249110588797135
"ms","hh1",0.0428827039985574,0.142127264282397,-0.101970153760869,0.185009968280954
