"year","r","hh","n"
2000,"CA","hh5",252
2000,"CO","hh5",43
2000,"CT","hh5",35
2000,"DE","hh5",19
2000,"DC","hh5",46
2000,"FL","hh5",92
2000,"GA","hh5",33
2000,"HI","hh5",24
2000,"ID","hh5",15
2000,"IL","hh5",101
2000,"IN","hh5",18
2000,"IA","hh5",31
2000,"KS","hh5",16
2000,"KY","hh5",24
2000,"LA","hh5",11
2000,"ME","hh5",22
2000,"MD","hh5",43
2000,"MA","hh5",75
2000,"MI","hh5",82
2000,"MN","hh5",42
2000,"MS","hh5",10
2000,"MO","hh5",15
2000,"MT","hh5",17
2000,"NE","hh5",23
2000,"NV","hh5",37
2000,"NH","hh5",27
2000,"NJ","hh5",108
2000,"NM","hh5",12
2000,"NY","hh5",203
2000,"NC","hh5",31
2000,"ND","hh5",10
2000,"OH","hh5",74
2000,"OK","hh5",20
2000,"OR","hh5",28
2000,"PA","hh5",89
2000,"RI","hh5",22
2000,"SC","hh5",12
2000,"SD","hh5",13
2000,"TN","hh5",28
2000,"TX","hh5",119
2000,"UT","hh5",24
2000,"VT","hh5",20
2000,"VA","hh5",57
2000,"WA","hh5",36
2000,"WV","hh5",5
2000,"WI","hh5",29
2000,"WY","hh5",16
2001,"US","hh1",21913
2001,"US","hh2",21578
2001,"US","hh3",14839
2001,"US","hh4",15981
2001,"US","hh5",3949
2001,"AL","hh1",453
2001,"AK","hh1",192
2001,"AZ","hh1",298
2001,"AR","hh1",349
2001,"CA","hh1",1464
2001,"CO","hh1",352
2001,"CT","hh1",298
2001,"DE","hh1",201
2001,"DC","hh1",358
2001,"FL","hh1",1173
2001,"GA","hh1",324
2001,"HI","hh1",263
2001,"ID","hh1",281
2001,"IL","hh1",685
2001,"IN","hh1",399
2001,"IA","hh1",329
2001,"KS","hh1",358
2001,"KY","hh1",346
2001,"LA","hh1",351
2001,"ME","hh1",405
2001,"MD","hh1",280
2001,"MA","hh1",362
2001,"MI","hh1",554
2001,"MN","hh1",265
2001,"MS","hh1",347
2001,"MO","hh1",309
2001,"MT","hh1",311
2001,"NE","hh1",301
2001,"NV","hh1",319
2001,"NH","hh1",259
2001,"NJ","hh1",455
2001,"NM","hh1",394
2001,"NY","hh1",1299
2001,"NC","hh1",521
2001,"ND","hh1",358
2001,"OH","hh1",674
2001,"OK","hh1",354
2001,"OR","hh1",320
2001,"PA","hh1",711
2001,"RI","hh1",374
2001,"SC","hh1",321
2001,"SD","hh1",332
2001,"TN","hh1",310
2001,"TX","hh1",1073
2001,"UT","hh1",203
2001,"VT","hh1",297
2001,"VA","hh1",310
2001,"WA","hh1",354
2001,"WV","hh1",446
2001,"WI","hh1",343
2001,"WY","hh1",278
2001,"AL","hh2",323
2001,"AK","hh2",255
2001,"AZ","hh2",300
2001,"AR","hh2",260
2001,"CA","hh2",1478
2001,"CO","hh2",419
2001,"CT","hh2",311
2001,"DE","hh2",275
2001,"DC","hh2",278
2001,"FL","hh2",1032
2001,"GA","hh2",326
2001,"HI","hh2",284
2001,"ID","hh2",326
2001,"IL","hh2",741
2001,"IN","hh2",386
2001,"IA","hh2",374
2001,"KS","hh2",354
2001,"KY","hh2",317
2001,"LA","hh2",245
2001,"ME","hh2",368
2001,"MD","hh2",291
2001,"MA","hh2",305
2001,"MI","hh2",572
2001,"MN","hh2",355
2001,"MS","hh2",218
2001,"MO","hh2",342
2001,"MT","hh2",280
2001,"NE","hh2",363
2001,"NV","hh2",490
2001,"NH","hh2",283
2001,"NJ","hh2",460
2001,"NM","hh2",321
2001,"NY","hh2",1003
2001,"NC","hh2",531
2001,"ND","hh2",329
2001,"OH","hh2",695
2001,"OK","hh2",333
2001,"OR","hh2",355
2001,"PA","hh2",715
2001,"RI","hh2",313
2001,"SC","hh2",281
2001,"SD","hh2",383
2001,"TN","hh2",297
2001,"TX","hh2",1011
2001,"UT","hh2",276
